Take,Piece,N,Label SD,SD,J1,J2,D1,D2,J1 Dens,J2 Dens,D1 Dens,D2 Dens,Jembe 1,Jembe 2,Dundun 1,Dundun 2
Maraka_1,Maraka,3,15|4,4,,27.031,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|5,5,27.16,,27.189,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|6,6,27.298,27.293,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|7,7,27.443,27.445,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|8,8,,,27.585,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|9,9,,27.706,,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|10,10,27.846,27.856,27.855,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|11,11,27.994,,,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|12,12,28.121,28.114,28.112,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|1,1,28.268,28.275,28.265,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|2,2,,,,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|3,3,,28.539,28.546,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|4,4,28.704,28.684,,,4,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|5,5,28.841,,28.816,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|6,6,28.963,28.945,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|7,7,29.095,29.098,,,5.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|8,8,,,29.244,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|9,9,,29.369,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|10,10,29.517,29.515,29.491,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|11,11,29.648,,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,16|12,12,29.775,29.77,29.757,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|1,1,29.914,29.923,29.916,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|2,2,,,,,5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|3,3,,30.185,30.185,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|4,4,30.354,30.331,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|5,5,30.477,,30.472,,5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|6,6,30.6,30.591,,,5.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,17|7,7,30.736,30.743,,,5.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
