"Piece","Label.SD","SD","Clave_.","Section","Clave","Bass","Guitar","Tres","Bongo","Bell","Cajon","Conga","Trumpet","Cl_Dens","Bs_Dens","Gt_Dens","Tr_Dens","Bn_Dens","Bl_Dens","Cj_Dens","Cn_Dens","Tm_Dens","CycleTime","Cycle","Isochronous.SD.Time"
"Song_2","32:5",5,"N","Son",NA,113.99437,NA,NA,114.047132,NA,NA,NA,NA,NA,1.5,NA,NA,4,NA,NA,NA,NA,NA,32,114.02475
"Song_2","32:6",6,"N","Son",NA,NA,114.216989,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,32,114.2446875
"Song_2","32:7",7,"3","Son",114.460626,114.447361,114.441846,114.454481,NA,NA,NA,NA,NA,1.5,1.5,4.5,2,NA,NA,NA,NA,NA,NA,32,114.464625
"Song_2","32:8",8,"N","Son",NA,NA,114.681244,114.667782,NA,NA,NA,NA,NA,NA,NA,4,2.5,NA,NA,NA,NA,NA,NA,32,114.6845625
"Song_2","32:9",9,"N","Son",NA,NA,114.906399,NA,114.915528,NA,NA,NA,NA,NA,NA,4.5,NA,5,NA,NA,NA,NA,NA,32,114.9045
"Song_2","32:10",10,"N","Son",NA,NA,115.10427,115.15028,NA,NA,NA,NA,NA,NA,NA,4.5,2,NA,NA,NA,NA,NA,NA,32,115.1244375
"Song_2","32:11",11,"4","Son",115.33754,NA,115.323898,NA,115.345317,NA,NA,NA,NA,1.5,NA,4.5,NA,5.5,NA,NA,NA,NA,NA,32,115.344375
"Song_2","32:12",12,"N","Son",NA,NA,115.541926,115.550848,115.575338,NA,NA,NA,NA,NA,NA,4.5,2,5,NA,NA,NA,NA,NA,32,115.5643125
"Song_2","32:13",13,"5","Son",115.787042,115.778321,115.749865,NA,115.795178,NA,NA,NA,NA,2,1.5,4.5,NA,5.5,NA,NA,NA,NA,NA,32,115.78425
"Song_2","32:14",14,"N","Son",NA,NA,NA,NA,116.028232,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,32,116.0041875
"Song_2","32:15",15,"N","Son",NA,116.180861,116.198462,116.196591,NA,NA,NA,NA,NA,NA,1.5,4.5,2.5,NA,NA,NA,NA,NA,NA,32,116.224125
"Song_2","32:16",16,"N","Son",NA,NA,116.436878,116.422367,116.445283,NA,NA,NA,NA,NA,NA,4.5,3,4.5,NA,NA,NA,NA,NA,32,116.4440625
"Song_2","33:1",1,"1","Son",116.66535,NA,116.657117,NA,NA,NA,NA,NA,NA,1.5,NA,4.5,NA,NA,NA,NA,NA,NA,116.664,33,116.664
"Song_2","33:2",2,"N","Son",NA,NA,116.8562,116.86311,NA,NA,NA,NA,NA,NA,NA,4.5,2.5,NA,NA,NA,NA,NA,NA,33,116.88365625
"Song_2","33:3",3,"N","Son",NA,NA,117.082392,NA,117.08911,NA,NA,NA,NA,NA,NA,4.5,NA,3,NA,NA,NA,NA,NA,33,117.1033125
"Song_2","33:4",4,"2","Son",NA,NA,117.335207,117.319744,117.339762,NA,NA,NA,NA,NA,NA,4,2.5,3.5,NA,NA,NA,NA,NA,33,117.32296875
"Song_2","33:5",5,"N","Son",NA,117.50791,117.542675,NA,NA,NA,NA,NA,NA,NA,1.5,4,NA,NA,NA,NA,NA,NA,NA,33,117.542625
"Song_2","33:6",6,"N","Son",NA,NA,117.752709,NA,117.757189,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,33,117.76228125
"Song_2","33:7",7,"3","Son",117.973854,117.916277,117.955218,117.954293,NA,NA,NA,NA,NA,1,1.5,4.5,2.5,NA,NA,NA,NA,NA,NA,33,117.9819375
"Song_2","33:8",8,"N","Son",NA,NA,118.195467,118.202738,118.198031,NA,NA,NA,NA,NA,NA,5,2.5,2.5,NA,NA,NA,NA,NA,33,118.20159375
"Song_2","33:9",9,"N","Son",NA,NA,118.423441,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,33,118.42125
"Song_2","33:10",10,"N","Son",NA,NA,118.618649,118.627443,118.614831,NA,NA,NA,NA,NA,NA,5,2.5,2.5,NA,NA,NA,NA,NA,33,118.64090625
"Song_2","33:11",11,"4","Son",118.854679,NA,118.847597,NA,118.843923,NA,NA,NA,NA,1,NA,5,NA,3,NA,NA,NA,NA,NA,33,118.8605625
"Song_2","33:12",12,"N","Son",NA,NA,119.05523,119.056569,NA,NA,NA,NA,NA,NA,NA,5,2.5,NA,NA,NA,NA,NA,NA,33,119.08021875
"Song_2","33:13",13,"5","Son",119.310295,119.294109,119.294999,NA,119.29583,NA,NA,NA,NA,1.5,1.5,5,NA,3,NA,NA,NA,NA,NA,33,119.299875
"Song_2","33:14",14,"N","Son",NA,NA,NA,NA,119.490974,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,33,119.51953125
"Song_2","33:15",15,"N","Son",NA,119.713675,119.713386,119.710923,119.703679,NA,NA,NA,NA,NA,1.5,4.5,2.5,3.5,NA,NA,NA,NA,NA,33,119.7391875
"Song_2","33:16",16,"N","Son",NA,NA,119.94098,119.944821,119.940841,NA,NA,NA,NA,NA,NA,4.5,3,3.5,NA,NA,NA,NA,NA,33,119.95884375
"Song_2","34:1",1,"1","Son",120.180004,NA,120.163219,NA,NA,NA,NA,NA,NA,1.5,NA,4.5,NA,NA,NA,NA,NA,NA,120.1785,34,120.1785
"Song_2","34:2",2,"N","Son",NA,NA,120.355485,120.439988,120.376296,NA,NA,NA,NA,NA,NA,4.5,2.5,3.5,NA,NA,NA,NA,NA,34,120.39796875
"Song_2","34:3",3,"N","Son",NA,NA,120.590268,NA,120.585849,NA,NA,NA,NA,NA,NA,4.5,NA,4,NA,NA,NA,NA,NA,34,120.6174375
"Song_2","34:4",4,"2","Son",120.849234,NA,120.807785,120.826246,120.831971,NA,NA,NA,NA,2,NA,4.5,2.5,4,NA,NA,NA,NA,NA,34,120.83690625
"Song_2","34:5",5,"N","Son",NA,121.018694,121.047929,NA,121.075176,NA,NA,NA,NA,NA,1.5,4.5,NA,4,NA,NA,NA,NA,NA,34,121.056375
"Song_2","34:6",6,"N","Son",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,121.27584375
